PayslipID,EmployeeNo,EmployeeName,Pay Date,Status,Action
P-0042,10004,"Reyes, Isabella",3/15/2026,FOR_SUPERVISOR,Generated
P-0042,10005,"Hernandez, Eduard",3/15/2026,FOR_SUPERVISOR,Generated
P-0042,10006,"Villanueva, Andrea Mae",3/15/2026,FOR_SUPERVISOR,Generated
P-0042,10007,"San Jose, Brad",3/15/2026,FOR_SUPERVISOR,Generated
P-0042,10008,"Romualdez, Alice",3/15/2026,FOR_SUPERVISOR,Generated
P-0042,10009,"Atienza, Rosie",3/15/2026,FOR_SUPERVISOR,Generated
P-0042,10010,"Alvaro, Roderick",3/15/2026,FOR_SUPERVISOR,Generated
P-0042,10011,"Salcedo, Anthony",3/15/2026,FOR_SUPERVISOR,Generated
P-0042,10012,"Lopez, Josie",3/15/2026,FOR_SUPERVISOR,Generated
P-0042,10013,"Farala, Martha",3/15/2026,FOR_SUPERVISOR,Generated
P-0042,10014,"Martinez, Leila",3/15/2026,FOR_SUPERVISOR,Generated
P-0042,10015,"Romualdez, Fredrick",3/15/2026,FOR_SUPERVISOR,Generated
P-0042,10016,"Mata, Christian",3/15/2026,FOR_SUPERVISOR,Generated
P-0042,10017,"De Leon, Selena",3/15/2026,FOR_SUPERVISOR,Generated
P-0042,10018,"San Jose, Allison",3/15/2026,FOR_SUPERVISOR,Generated
P-0042,10019,"Rosario, Cydney",3/15/2026,FOR_SUPERVISOR,Generated
P-0042,10020,"Bautista, Mark",3/15/2026,FOR_SUPERVISOR,Generated
P-0042,10021,"Lazaro, Darlene",3/15/2026,FOR_SUPERVISOR,Generated
P-0042,10022,"Delos Santos, Kolby",3/15/2026,FOR_SUPERVISOR,Generated
P-0042,10023,"Santos, Vella",3/15/2026,FOR_SUPERVISOR,Generated
P-0042,10024,"Del Rosario, Tomas",3/15/2026,FOR_SUPERVISOR,Generated
P-0042,10025,"Tolentino, Jacklyn",3/15/2026,FOR_SUPERVISOR,Generated
P-0042,10026,"Gutierrez, Percival",3/15/2026,FOR_SUPERVISOR,Generated
P-0042,10027,"Manalaysay, Garfield",3/15/2026,FOR_SUPERVISOR,Generated
P-0042,10028,"Villegas, Lizeth",3/15/2026,FOR_SUPERVISOR,Generated
P-0042,10029,"Ramos, Carol",3/15/2026,FOR_SUPERVISOR,Generated
P-0042,10030,"Maceda, Emelia",3/15/2026,FOR_SUPERVISOR,Generated
P-0042,10031,"Aguilar, Delia",3/15/2026,FOR_SUPERVISOR,Generated
P-0042,10032,"Castro, John Rafael",3/15/2026,FOR_SUPERVISOR,Generated
P-0042,10033,"Martinez, Carlos Ian",3/15/2026,FOR_SUPERVISOR,Generated
P-0042,10034,"Santos, Beatriz",3/15/2026,FOR_SUPERVISOR,Generated
